iter	Passed	Remaining
400	30894	46149
401	30969	46068
402	31038	45979
403	31116	45904
404	31183	45813
405	31248	45718
406	31323	45638
407	31394	45552
408	31473	45479
409	31563	45421
410	31634	45334
411	31702	45245
412	31768	45153
413	31841	45070
414	31905	44974
415	31956	44862
416	32021	44769
417	32082	44670
418	32147	44576
419	32207	44477
420	32257	44363
421	32311	44256
422	32363	44145
423	32427	44052
424	32489	43955
425	32547	43855
426	32638	43797
427	32695	43695
428	32764	43610
429	32832	43522
430	32904	43440
431	32987	43371
432	33055	43285
433	33129	43205
434	33198	43119
435	33268	43036
436	33336	42948
437	33402	42859
438	33475	42779
439	33557	42709
440	33633	42632
441	33709	42556
442	33779	42472
443	33853	42393
444	33931	42318
445	33996	42228
446	34066	42145
447	34132	42056
448	34204	41974
449	34276	41893
450	34350	41815
451	34413	41722
452	34488	41644
453	34558	41561
454	34624	41473
455	34703	41400
456	34772	41316
457	34830	41218
458	34896	41130
459	34970	41052
460	35028	40955
461	35109	40885
462	35191	40815
463	35257	40728
464	35325	40643
465	35395	40560
466	35462	40473
467	35523	40380
468	35582	40286
469	35661	40214
470	35736	40136
471	35800	40048
472	35867	39962
473	35933	39875
474	36011	39801
475	36091	39731
476	36189	39679
477	36302	39643
478	36408	39600
479	36521	39565
480	36604	39496
481	36693	39433
482	36782	39372
483	36893	39332
484	36988	39276
485	37052	39186
486	37119	39100
487	37184	39013
488	37243	38919
489	37350	38874
490	37535	38911
491	37662	38887
492	37789	38862
493	37913	38834
494	38019	38787
495	38104	38718
496	38188	38649
497	38284	38592
498	38370	38524
499	38460	38460
500	38539	38385
501	38614	38307
502	38682	38221
503	38754	38138
504	38814	38046
505	38878	37956
506	38945	37870
507	38999	37771
508	39070	37689
509	39126	37591
510	39190	37503
511	39261	37421
512	39345	37351
513	39437	37289
514	39522	37220
515	39604	37148
516	39671	37062
517	39746	36984
518	39831	36915
519	39915	36844
520	39978	36756
521	40045	36670
522	40109	36582
523	40196	36514
524	40302	36464
525	40416	36420
526	40559	36403
527	40696	36380
528	40846	36368
529	40970	36332
530	41061	36267
531	41157	36205
532	41276	36164
533	41400	36128
534	41503	36073
535	41581	35996
536	41656	35916
537	41703	35811
538	41769	35725
539	41850	35650
540	41931	35575
541	41997	35488
542	42101	35433
543	42167	35346
544	42243	35267
545	42413	35267
546	42562	35248
547	42668	35193
548	42764	35130
549	42852	35061
550	42934	34986
551	43008	34905
552	43080	34822
553	43154	34742
554	43261	34687
555	43375	34638
556	43482	34582
557	43584	34523
558	43704	34478
559	43797	34412
560	43875	34333
561	43942	34247
562	44012	34162
563	44089	34083
564	44189	34021
565	44265	33942
566	44329	33853
567	44393	33764
568	44468	33683
569	44547	33605
570	44674	33564
571	44806	33526
572	44961	33505
573	45064	33445
574	45151	33372
575	45238	33300
576	45350	33246
577	45434	33172
578	45521	33099
579	45608	33026
580	45693	32952
581	45788	32886
582	45877	32814
583	45963	32741
584	46039	32660
585	46106	32573
586	46194	32501
587	46264	32416
588	46336	32333
589	46470	32292
590	46535	32204
591	46653	32153
592	46784	32110
593	46909	32062
594	47006	31996
595	47108	31932
596	47201	31863
597	47279	31783
598	47384	31721
599	47478	31652
600	47555	31571
601	47628	31488
602	47704	31407
603	47776	31323
604	47854	31243
605	47923	31158
606	48001	31078
607	48114	31021
608	48193	30942
609	48254	30851
610	48313	30759
611	48368	30665
612	48422	30570
613	48486	30481
614	48590	30418
615	48743	30385
616	48855	30326
617	48945	30254
618	49031	30179
619	49161	30131
620	49236	30049
621	49316	29970
622	49389	29887
623	49463	29804
624	49535	29721
625	49621	29646
626	49769	29607
627	49921	29571
628	50026	29506
629	50116	29433
630	50218	29367
631	50337	29310
632	50413	29228
633	50485	29144
634	50556	29059
635	50645	28985
636	50729	28908
637	50845	28849
638	50946	28781
639	51042	28711
640	51146	28645
641	51282	28596
642	51403	28539
643	51530	28485
644	51651	28428
645	51746	28356
646	51905	28319
647	52005	28249
648	52085	28169
649	52146	28079
650	52208	27988
651	52279	27903
652	52348	27817
653	52485	27767
654	52623	27717
655	52765	27669
656	52886	27610
657	52984	27539
658	53101	27477
659	53217	27415
660	53298	27334
661	53381	27254
662	53450	27168
663	53520	27082
664	53588	26995
665	53714	26938
666	53877	26898
667	54013	26844
668	54164	26798
669	54277	26733
670	54387	26666
671	54512	26607
672	54642	26549
673	54720	26466
674	54804	26387
675	54888	26307
676	54978	26230
677	55069	26153
678	55167	26080
679	55248	25999
680	55321	25914
681	55404	25833
682	55487	25753
683	55566	25671
684	55665	25597
685	55772	25528
686	55855	25447
687	55926	25362
688	55993	25274
689	56053	25183
690	56146	25107
691	56261	25041
692	56380	24976
693	56481	24903
694	56592	24835
695	56697	24764
696	56770	24679
697	56833	24589
698	56889	24497
699	56942	24403
700	56995	24310
701	57067	24225
702	57155	24146
703	57292	24088
704	57416	24025
705	57536	23959
706	57660	23895
707	57741	23814
708	57824	23733
709	57886	23643
710	58000	23575
711	58096	23499
712	58223	23436
713	58388	23388
714	58489	23314
715	58596	23242
716	58679	23160
717	58776	23084
718	58867	23006
719	58958	22928
720	59047	22849
721	59138	22770
722	59221	22689
723	59303	22607
724	59395	22529
725	59493	22453
726	59565	22367
727	59633	22280
728	59697	22192
729	59763	22104
730	59829	22016
731	59891	21927
732	59956	21839
733	60026	21753
734	60094	21666
735	60157	21578
736	60230	21493
737	60304	21408
738	60368	21320
739	60425	21230
740	60494	21144
741	60556	21056
742	60607	20964
743	60659	20872
744	60721	20783
745	60782	20695
746	60834	20603
747	60884	20511
748	60937	20420
749	61006	20335
750	61065	20246
751	61185	20178
752	61254	20092
753	61313	20004
754	61379	19917
755	61450	19833
756	61511	19745
757	61564	19655
758	61630	19568
759	61701	19484
760	61780	19402
761	61844	19316
762	61911	19230
763	61984	19147
764	62053	19062
765	62134	18980
766	62289	18922
767	62426	18857
768	62558	18791
769	62673	18720
770	62812	18656
771	62928	18585
772	63065	18519
773	63162	18442
774	63242	18360
775	63302	18272
776	63370	18187
777	63451	18105
778	63522	18021
779	63618	17943
780	63744	17874
781	63867	17804
782	63975	17730
783	64091	17657
784	64195	17582
785	64322	17512
786	64405	17431
787	64475	17346
788	64548	17261
789	64622	17178
790	64689	17092
791	64758	17007
792	64832	16923
793	64897	16837
794	64963	16751
795	65033	16666
796	65084	16577
797	65140	16489
798	65191	16399
799	65252	16313
800	65313	16226
801	65379	16141
802	65441	16054
803	65508	15969
804	65571	15883
805	65640	15799
806	65711	15715
807	65781	15631
808	65845	15545
809	65915	15461
810	65974	15375
811	66031	15288
812	66089	15201
813	66166	15119
814	66280	15045
815	66425	14978
816	66561	14909
817	66697	14839
818	66827	14769
819	66956	14697
820	67067	14622
821	67193	14550
822	67263	14466
823	67322	14379
824	67393	14295
825	67466	14212
826	67548	14130
827	67681	14059
828	67810	13987
829	67927	13912
830	68033	13835
831	68126	13756
832	68218	13676
833	68326	13599
834	68429	13522
835	68525	13442
836	68640	13367
837	68703	13281
838	68766	13195
839	68821	13108
840	68879	13022
841	68928	12934
842	68987	12848
843	69092	12770
844	69222	12697
845	69342	12622
846	69456	12546
847	69555	12467
848	69663	12390
849	69815	12320
850	69916	12241
851	70014	12162
852	70096	12079
853	70179	11997
854	70251	11914
855	70329	11831
856	70402	11747
857	70483	11665
858	70556	11581
859	70624	11497
860	70689	11412
861	70751	11326
862	70814	11241
863	70875	11156
864	70933	11070
865	70993	10985
866	71052	10899
867	71109	10813
868	71161	10727
869	71225	10642
870	71284	10557
871	71342	10472
872	71416	10389
873	71481	10305
874	71549	10221
875	71620	10138
876	71689	10054
877	71749	9969
878	71814	9885
879	71873	9800
880	71931	9716
881	72004	9633
882	72073	9549
883	72127	9464
884	72192	9380
885	72250	9296
886	72309	9211
887	72371	9127
888	72470	9048
889	72521	8963
890	72571	8878
891	72625	8793
892	72695	8710
893	72765	8627
894	72838	8545
895	72903	8462
896	72970	8378
897	73041	8296
898	73098	8212
899	73174	8130
900	73235	8046
901	73302	7964
902	73371	7881
903	73439	7798
904	73498	7715
905	73562	7632
906	73616	7548
907	73684	7465
908	73793	7387
909	73896	7308
910	74026	7231
911	74149	7154
912	74255	7075
913	74374	6998
914	74493	6920
915	74590	6840
916	74659	6757
917	74719	6674
918	74778	6590
919	74839	6507
920	74908	6425
921	75050	6349
922	75176	6271
923	75298	6193
924	75403	6113
925	75510	6034
926	75631	5955
927	75704	5873
928	75770	5790
929	75835	5708
930	75907	5625
931	75975	5543
932	76094	5464
933	76227	5386
934	76350	5307
935	76441	5226
936	76521	5144
937	76600	5063
938	76680	4981
939	76747	4898
940	76835	4817
941	76904	4735
942	76963	4652
943	77047	4570
944	77125	4488
945	77199	4406
946	77268	4324
947	77337	4242
948	77449	4162
949	77506	4079
950	77567	3996
951	77635	3914
952	77700	3832
953	77762	3749
954	77826	3667
955	77887	3584
956	77971	3503
957	78088	3423
958	78188	3342
959	78290	3262
960	78381	3180
961	78474	3099
962	78546	3017
963	78621	2936
964	78699	2854
965	78784	2772
966	78868	2691
967	78945	2609
968	79025	2528
969	79104	2446
970	79221	2366
971	79299	2284
972	79371	2202
973	79439	2120
974	79493	2038
975	79562	1956
976	79621	1874
977	79722	1793
978	79847	1712
979	79982	1632
980	80068	1550
981	80152	1469
982	80241	1387
983	80317	1305
984	80387	1224
985	80467	1142
986	80536	1060
987	80605	979
988	80682	897
989	80742	815
990	80820	733
991	80905	652
992	80964	570
993	81016	489
994	81073	407
995	81128	325
996	81183	244
997	81276	162
998	81399	81
999	81504	0
